episode_id,stars,votes,percent
S20-E1,2,16,1.3
S20-E1,3,20,1.7
S20-E1,4,36,3.0
S20-E1,5,49,4.1
S20-E1,1,67,5.6
S20-E1,9,102,8.6
S20-E1,6,133,11.2
S20-E1,8,231,19.4
S20-E1,10,232,19.5
S20-E1,7,306,25.7
S20-E10,2,9,1.0
S20-E10,3,21,2.3
S20-E10,4,30,3.3
S20-E10,1,44,4.8
S20-E10,5,59,6.5
S20-E10,9,66,7.2
S20-E10,10,125,13.7
S20-E10,6,135,14.8
S20-E10,8,144,15.8
S20-E10,7,278,30.5
S20-E11,4,18,2.0
S20-E11,2,18,2.0
S20-E11,3,19,2.1
S20-E11,1,48,5.2
S20-E11,5,66,7.2
S20-E11,9,73,7.9
S20-E11,10,127,13.8
S20-E11,6,138,15.0
S20-E11,8,143,15.6
S20-E11,7,269,29.3
S20-E12,2,17,1.9
S20-E12,3,28,3.1
S20-E12,4,34,3.8
S20-E12,1,49,5.4
S20-E12,5,51,5.6
S20-E12,9,67,7.4
S20-E12,10,125,13.8
S20-E12,8,127,14.0
S20-E12,6,131,14.5
S20-E12,7,276,30.5
S20-E13,2,18,1.7
S20-E13,3,26,2.5
S20-E13,4,30,2.9
S20-E13,5,58,5.5
S20-E13,1,61,5.8
S20-E13,9,98,9.3
S20-E13,6,106,10.1
S20-E13,8,178,17.0
S20-E13,10,224,21.4
S20-E13,7,250,23.8
S20-E14,2,27,2.8
S20-E14,3,29,3.0
S20-E14,9,45,4.7
S20-E14,4,48,5.0
S20-E14,1,77,8.0
S20-E14,5,89,9.3
S20-E14,8,105,11.0
S20-E14,10,120,12.5
S20-E14,7,202,21.1
S20-E14,6,215,22.5
S20-E15,3,22,2.5
S20-E15,4,27,3.1
S20-E15,2,27,3.1
S20-E15,9,49,5.6
S20-E15,1,53,6.1
S20-E15,5,73,8.4
S20-E15,8,115,13.2
S20-E15,10,123,14.1
S20-E15,6,160,18.4
S20-E15,7,222,25.5
S20-E16,2,13,1.4
S20-E16,4,17,1.8
S20-E16,3,19,2.0
S20-E16,1,43,4.5
S20-E16,5,50,5.3
S20-E16,9,77,8.1
S20-E16,6,119,12.6
S20-E16,10,138,14.6
S20-E16,8,193,20.4
S20-E16,7,279,29.4
S20-E17,2,14,1.4
S20-E17,3,21,2.2
S20-E17,4,25,2.6
S20-E17,5,44,4.5
S20-E17,1,45,4.6
S20-E17,9,80,8.2
S20-E17,6,126,12.9
S20-E17,8,173,17.7
S20-E17,10,191,19.6
S20-E17,7,257,26.3
S20-E18,3,16,1.8
S20-E18,2,18,2.0
S20-E18,4,21,2.3
S20-E18,1,43,4.8
S20-E18,9,64,7.1
S20-E18,5,71,7.9
S20-E18,6,116,12.9
S20-E18,8,130,14.4
S20-E18,10,155,17.2
S20-E18,7,267,29.6
S20-E19,2,12,1.2
S20-E19,3,21,2.1
S20-E19,4,28,2.8
S20-E19,1,47,4.7
S20-E19,5,56,5.6
S20-E19,9,81,8.2
S20-E19,6,131,13.2
S20-E19,10,181,18.2
S20-E19,8,183,18.4
S20-E19,7,252,25.4
S20-E2,3,19,1.8
S20-E2,2,19,1.8
S20-E2,4,33,3.1
S20-E2,1,54,5.1
S20-E2,5,63,6.0
S20-E2,9,75,7.1
S20-E2,8,152,14.4
S20-E2,6,158,15.0
S20-E2,10,181,17.2
S20-E2,7,301,28.5
S20-E20,2,25,2.7
S20-E20,3,30,3.2
S20-E20,4,37,4.0
S20-E20,9,50,5.4
S20-E20,1,77,8.3
S20-E20,5,96,10.4
S20-E20,8,105,11.3
S20-E20,10,124,13.4
S20-E20,7,163,17.6
S20-E20,6,220,23.7
S20-E21,2,16,1.6
S20-E21,4,19,1.8
S20-E21,3,27,2.6
S20-E21,1,54,5.2
S20-E21,5,63,6.1
S20-E21,9,80,7.8
S20-E21,6,106,10.3
S20-E21,8,200,19.4
S20-E21,10,233,22.6
S20-E21,7,234,22.7
S20-E3,2,12,1.2
S20-E3,3,20,2.0
S20-E3,4,32,3.2
S20-E3,1,60,5.9
S20-E3,5,62,6.1
S20-E3,9,71,7.0
S20-E3,8,144,14.2
S20-E3,6,155,15.3
S20-E3,10,184,18.1
S20-E3,7,275,27.1
S20-E4,2,17,1.4
S20-E4,3,26,2.2
S20-E4,4,37,3.1
S20-E4,1,64,5.4
S20-E4,5,87,7.3
S20-E4,9,108,9.1
S20-E4,6,146,12.3
S20-E4,8,200,16.8
S20-E4,10,230,19.3
S20-E4,7,275,23.1
S20-E5,3,20,2.1
S20-E5,2,25,2.6
S20-E5,4,35,3.7
S20-E5,9,56,5.9
S20-E5,1,62,6.5
S20-E5,5,85,8.9
S20-E5,8,110,11.6
S20-E5,10,128,13.5
S20-E5,6,209,22.0
S20-E5,7,221,23.2
S20-E6,2,7,0.7
S20-E6,3,21,2.2
S20-E6,4,25,2.6
S20-E6,1,44,4.6
S20-E6,5,58,6.1
S20-E6,9,66,6.9
S20-E6,10,144,15.1
S20-E6,6,147,15.4
S20-E6,8,166,17.4
S20-E6,7,277,29.0
S20-E7,3,21,1.9
S20-E7,2,21,1.9
S20-E7,4,37,3.3
S20-E7,5,61,5.5
S20-E7,1,73,6.5
S20-E7,9,112,10.0
S20-E7,6,131,11.7
S20-E7,8,185,16.6
S20-E7,10,210,18.8
S20-E7,7,266,23.8
S20-E8,2,23,2.4
S20-E8,3,28,2.9
S20-E8,4,42,4.4
S20-E8,9,50,5.2
S20-E8,1,57,6.0
S20-E8,5,88,9.2
S20-E8,8,111,11.6
S20-E8,10,138,14.4
S20-E8,6,183,19.1
S20-E8,7,236,24.7
S20-E9,2,33,3.0
S20-E9,9,45,4.1
S20-E9,3,51,4.7
S20-E9,4,73,6.7
S20-E9,8,87,8.0
S20-E9,1,106,9.8
S20-E9,5,134,12.4
S20-E9,10,143,13.2
S20-E9,7,154,14.2
S20-E9,6,259,23.9
